Dni;fecha;importe
22333666;01/04/2025;5123
21336111;01/04/2025;4580
42888999;01/04/2025;6000
44456331;02/04/2025;12000
38667444;02/04/2025;7000
37852143;02/04/2025;4500
25444339;02/04/2025;8000
26444743;03/04/2025;1500
20114369;03/04/2025;3498
43000112;03/04/2025;9000
42888999;03/04/2025;13000
42812345;03/04/2025;4500
36899122;04/04/2025;6980
37852143;04/04/2025;4500
28744633;04/04/2025;6520
32666999;05/04/2025;17000
37852143;05/04/2025;12500
43569444;05/04/2025;4580
43000112;06/04/2025;4500
42311211;06/04/2025;6980
42888999;06/04/2025;4500
42812345;06/04/2025;7700
43569444;07/04/2025;5123
44456331;07/04/2025;4580
38667444;07/04/2025;6000
20114369;07/04/2025;12000
43000112;08/04/2025;7000
42888999;08/04/2025;4580
42812345;08/04/2025;4500
36899122;08/04/2025;6980
44456331;08/04/2025;4500
44456331;09/04/2025;3900
38667444;09/04/2025;2350
32666999;10/04/2025;2580
37852143;11/04/2025;3910
28744633;11/04/2025;4789
32666999;11/04/2025;6500
26444743;11/04/2025;3400
20114369;12/04/20253;10650
43000112;12/04/2025;8900
21222311;13/04/2025;4700
22333666;13/04/2025;6540
43569444;13/04/2025;7890
44456331;14/04/2025;4500
38667444;14/04/2025;6700
20114369;15/04/2025;11230
43000112;15/04/2025;4980
42311211;15/04/2025;6234
